Driver,Race sector,time [s],dist [mile],x[ft],y [ft]
Juan Pablo Montoya,Sec5,3.89159741,0.179582841,2731.921362,2286.630215
Juan Pablo Montoya,Sec6,4.232443356,0.195924268,2765.619071,2366.060528
Juan Pablo Montoya,Sec7,4.624131884,0.214520077,2784.874904,2462.339695
Juan Pablo Montoya,Sec8,5.81627713,0.259671653,2792.095842,2700.630633
Juan Pablo Montoya,Sec9,8.725164731,0.323494698,2789.688862,3037.607717
Juan Pablo Montoya,Sec10,9.640907768,0.342814007,2755.991154,3133.886884
Juan Pablo Montoya,Sec11,10.55300287,0.360848153,2666.932925,3167.584593
Juan Pablo Montoya,Sec12,11.44997786,0.377715242,2582.688654,3138.700843
Juan Pablo Montoya,Sec13,12.14381042,0.3911227,2541.770008,3080.933342
Juan Pablo Montoya,Sec14,12.79733449,0.40616632,2541.770008,3001.50303
Juan Pablo Montoya,Sec15,13.56360975,0.423198927,2565.839799,2914.851779
Juan Pablo Montoya,Sec16,14.6897541,0.449580214,2589.909591,2777.653967
Juan Pablo Montoya,Sec17,15.82697793,0.484684954,2592.31657,2592.31657
Juan Pablo Montoya,Sec18,17.65355103,0.525990654,2551.397924,2378.095424
Juan Pablo Montoya,Sec19,18.70052402,0.548369976,2486.409487,2279.409278
Juan Pablo Montoya,Sec20,19.48573617,0.567505544,2387.72334,2257.746465
Juan Pablo Montoya,Sec21,20.65353289,0.596254112,2240.897611,2296.258132
Juan Pablo Montoya,Sec22,21.83551222,0.628440407,2077.223027,2341.990736
Juan Pablo Montoya,Sec23,23.05675586,0.669904285,1865.40886,2397.351257
Juan Pablo Montoya,Sec24,23.79082875,0.689816868,1764.315734,2426.235007
Juan Pablo Montoya,Sec25,24.68123319,0.713350395,1658.408651,2491.223445
Juan Pablo Montoya,Sec26,25.59427788,0.737147365,1615.083026,2609.165424
Juan Pablo Montoya,Sec27,26.8658857,0.773687906,1603.04813,2801.723758
Juan Pablo Montoya,Sec28,27.81134542,0.806083362,1595.827192,2972.61928
Juan Pablo Montoya,Sec29,28.42607289,0.829792843,1598.234171,3097.782197
Juan Pablo Montoya,Sec30,29.4301311,0.872442631,1639.152817,3319.224281
